https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,100,1046,1023,1135,1207,1247,986,1257,0.000%,49.43154,222.97,26.12
https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,100,254,255,259,259,260,245,260,0.000%,95.32888,382.06,55.48
https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,100,255,255,259,261,262,247,263,0.000%,94.60738,430.91,55.06
https://petstore.octoperf.com/actions/Order.action?newOrderForm=,200,3148,261,10781,16251,29474,247,41108,0.000%,1.87596,9.04,1.06
https://petstore.octoperf.com/actions/Account.action,100,11121,4240,25595,56915,76181,1086,76657,0.000%,1.30281,6.91,1.89
https://petstore.octoperf.com/actions/Cart.action?viewCart=,100,9540,4464,27222,38213,71793,335,74735,0.000%,1.26236,6.00,0.70
https://petstore.octoperf.com/actions/Order.action,100,4966,1095,14411,21189,35450,247,39399,0.000%,1.26205,5.95,1.52
https://petstore.octoperf.com/actions/Order.action?newOrder=&confirmed=true,100,3256,553,13026,18264,20489,248,25599,0.000%,1.26678,6.83,0.73
https://petstore.octoperf.com/actions/Account.action?signoff=,100,2076,742,6333,12487,16272,499,18426,0.000%,1.26709,6.53,1.41
Test,100,38815,37787,59885,76119,80584,9263,83506,0.000%,.68958,33.12,5.32
TOTAL,1100,7057,831,25066,39483,71793,245,83506,0.000%,7.58542,66.23,10.63
