https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,5000,115138,130145,131028,131150,131261,1143,131345,77.960%,37.31288,119.48,4.34
https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,5000,57647,66725,131100,131113,131145,255,131215,31.420%,19.01907,75.19,7.13
https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,5000,8963,1051,4074,66563,130658,246,131174,3.840%,12.71433,59.47,6.93
https://petstore.octoperf.com/actions/Order.action?newOrderForm=,10000,588,259,282,371,1623,246,131000,0.210%,18.15983,87.62,10.18
https://petstore.octoperf.com/actions/Account.action,5000,533,515,580,623,669,491,2416,0.000%,9.53185,50.57,13.80
https://petstore.octoperf.com/actions/Cart.action?viewCart=,5000,267,260,287,291,395,247,2813,0.000%,9.53891,45.17,5.32
https://petstore.octoperf.com/actions/Order.action,5000,262,257,268,288,437,246,1893,0.000%,9.54131,44.95,11.48
https://petstore.octoperf.com/actions/Order.action?newOrder=&confirmed=true,5000,459,524,625,669,709,247,2262,64.360%,9.53940,110.70,5.47
https://petstore.octoperf.com/actions/Account.action?signoff=,5000,1741,518,633,1127,69642,490,131164,0.520%,9.53349,49.02,10.53
Test,5000,186193,200890,267259,332891,396391,4814,526703,88.420%,8.46981,448.74,59.66
TOTAL,55000,33853,513,131053,150335,266652,246,526703,24.267%,93.16791,897.48,119.33
